date,teamA,teamB,winner,map_name,region,tier,teamA_players,teamB_players,teamA_ACS,teamB_ACS,teamA_KD,teamB_KD
2025-09-03,Trace Esports,Xi Lai Gaming,Trace Esports,Icebox,CHINA,1,"Trace Esports_player1,Trace Esports_player2,Trace Esports_player3,Trace Esports_player4,Trace Esports_player5","Xi Lai Gaming_player1,Xi Lai Gaming_player2,Xi Lai Gaming_player3,Xi Lai Gaming_player4,Xi Lai Gaming_player5",251.0,184.0,1.61,1.17
2025-09-03,GIANTX,BBL Esports,GIANTX,Bind,EMEA,1,"GIANTX_player1,GIANTX_player2,GIANTX_player3,GIANTX_player4,GIANTX_player5","BBL Esports_player1,BBL Esports_player2,BBL Esports_player3,BBL Esports_player4,BBL Esports_player5",264.3,205.4,1.17,0.79
2025-09-03,Team Vitality,Team Liquid,Team Vitality,Bind,EMEA,1,"Team Vitality_player1,Team Vitality_player2,Team Vitality_player3,Team Vitality_player4,Team Vitality_player5","Team Liquid_player1,Team Liquid_player2,Team Liquid_player3,Team Liquid_player4,Team Liquid_player5",233.5,170.5,1.28,0.91
2025-09-02,Bilibili Gaming,JDG Esports,Bilibili Gaming,Bind,CHINA,1,"Bilibili Gaming_player1,Bilibili Gaming_player2,Bilibili Gaming_player3,Bilibili Gaming_player4,Bilibili Gaming_player5","JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5",268.1,213.2,1.37,1.0
2025-09-02,G2 Esports,Cloud9,G2 Esports,Breeze,AMERICAS,1,"G2 Esports_player1,G2 Esports_player2,G2 Esports_player3,G2 Esports_player4,G2 Esports_player5","Cloud9_player1,Cloud9_player2,Cloud9_player3,Cloud9_player4,Cloud9_player5",232.1,178.2,1.39,1.04
2025-09-02,KRÜ Esports,Leviatán,Leviatán,Lotus,AMERICAS,1,"KRÜ Esports_player1,KRÜ Esports_player2,KRÜ Esports_player3,KRÜ Esports_player4,KRÜ Esports_player5","Leviatán_player1,Leviatán_player2,Leviatán_player3,Leviatán_player4,Leviatán_player5",183.7,220.8,0.8,1.13
2025-09-01,MIBR,Cloud9,Cloud9,Haven,AMERICAS,1,"MIBR_player1,MIBR_player2,MIBR_player3,MIBR_player4,MIBR_player5","Cloud9_player1,Cloud9_player2,Cloud9_player3,Cloud9_player4,Cloud9_player5",237.7,314.3,0.92,1.28
2025-09-01,Xi Lai Gaming,Bilibili Gaming,Bilibili Gaming,Breeze,CHINA,1,"Xi Lai Gaming_player1,Xi Lai Gaming_player2,Xi Lai Gaming_player3,Xi Lai Gaming_player4,Xi Lai Gaming_player5","Bilibili Gaming_player1,Bilibili Gaming_player2,Bilibili Gaming_player3,Bilibili Gaming_player4,Bilibili Gaming_player5",196.8,284.0,1.08,1.62
2025-08-31,Leviatán,Sentinels,Leviatán,Split,AMERICAS,1,"Leviatán_player1,Leviatán_player2,Leviatán_player3,Leviatán_player4,Leviatán_player5","Sentinels_player1,Sentinels_player2,Sentinels_player3,Sentinels_player4,Sentinels_player5",333.0,238.1,1.34,0.89
2025-08-30,Titan Esports Club,FunPlus Phoenix,FunPlus Phoenix,Ascent,CHINA,1,"Titan Esports Club_player1,Titan Esports Club_player2,Titan Esports Club_player3,Titan Esports Club_player4,Titan Esports Club_player5","FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5",197.4,243.2,0.91,1.37
2025-08-29,KRÜ Esports,FURIA Esports,KRÜ Esports,Breeze,AMERICAS,1,"KRÜ Esports_player1,KRÜ Esports_player2,KRÜ Esports_player3,KRÜ Esports_player4,KRÜ Esports_player5","FURIA Esports_player1,FURIA Esports_player2,FURIA Esports_player3,FURIA Esports_player4,FURIA Esports_player5",268.4,202.3,1.32,0.86
2025-08-28,Titan Esports Club,Dragon Ranger Gaming,Dragon Ranger Gaming,Haven,CHINA,1,"Titan Esports Club_player1,Titan Esports Club_player2,Titan Esports Club_player3,Titan Esports Club_player4,Titan Esports Club_player5","Dragon Ranger Gaming_player1,Dragon Ranger Gaming_player2,Dragon Ranger Gaming_player3,Dragon Ranger Gaming_player4,Dragon Ranger Gaming_player5",169.5,237.3,1.17,1.47
2025-08-27,Leviatán,MIBR,MIBR,Haven,AMERICAS,1,"Leviatán_player1,Leviatán_player2,Leviatán_player3,Leviatán_player4,Leviatán_player5","MIBR_player1,MIBR_player2,MIBR_player3,MIBR_player4,MIBR_player5",181.6,248.2,1.08,1.54
2025-08-26,Dragon Ranger Gaming,Edward Gaming,Edward Gaming,Sunset,CHINA,1,"Dragon Ranger Gaming_player1,Dragon Ranger Gaming_player2,Dragon Ranger Gaming_player3,Dragon Ranger Gaming_player4,Dragon Ranger Gaming_player5","Edward Gaming_player1,Edward Gaming_player2,Edward Gaming_player3,Edward Gaming_player4,Edward Gaming_player5",195.0,250.9,1.02,1.42
2025-08-25,Natus Vincere,Team Vitality,Natus Vincere,Bind,EMEA,1,"Natus Vincere_player1,Natus Vincere_player2,Natus Vincere_player3,Natus Vincere_player4,Natus Vincere_player5","Team Vitality_player1,Team Vitality_player2,Team Vitality_player3,Team Vitality_player4,Team Vitality_player5",258.5,193.3,1.34,0.94
2025-08-25,Movistar KOI,Team Heretics,Team Heretics,Lotus,EMEA,1,"Movistar KOI_player1,Movistar KOI_player2,Movistar KOI_player3,Movistar KOI_player4,Movistar KOI_player5","Team Heretics_player1,Team Heretics_player2,Team Heretics_player3,Team Heretics_player4,Team Heretics_player5",246.3,333.5,1.14,1.57
2025-08-25,BBL Esports,Team Vitality,Team Vitality,Split,EMEA,1,"BBL Esports_player1,BBL Esports_player2,BBL Esports_player3,BBL Esports_player4,BBL Esports_player5","Team Vitality_player1,Team Vitality_player2,Team Vitality_player3,Team Vitality_player4,Team Vitality_player5",212.0,256.1,1.01,1.53
2025-08-24,KRÜ Esports,NRG Esports,NRG Esports,Ascent,AMERICAS,1,"KRÜ Esports_player1,KRÜ Esports_player2,KRÜ Esports_player3,KRÜ Esports_player4,KRÜ Esports_player5","NRG Esports_player1,NRG Esports_player2,NRG Esports_player3,NRG Esports_player4,NRG Esports_player5",221.4,314.0,1.12,1.54
2025-08-24,LOUD,100 Thieves,100 Thieves,Split,AMERICAS,1,"LOUD_player1,LOUD_player2,LOUD_player3,LOUD_player4,LOUD_player5","100 Thieves_player1,100 Thieves_player2,100 Thieves_player3,100 Thieves_player4,100 Thieves_player5",198.5,302.2,1.12,1.77
2025-08-23,Sentinels,FURIA Esports,Sentinels,Bind,AMERICAS,1,"Sentinels_player1,Sentinels_player2,Sentinels_player3,Sentinels_player4,Sentinels_player5","FURIA Esports_player1,FURIA Esports_player2,FURIA Esports_player3,FURIA Esports_player4,FURIA Esports_player5",280.1,220.3,1.33,1.01
2025-08-23,Leviatán,Evil Geniuses,Evil Geniuses,Ascent,AMERICAS,1,"Leviatán_player1,Leviatán_player2,Leviatán_player3,Leviatán_player4,Leviatán_player5","Evil Geniuses_player1,Evil Geniuses_player2,Evil Geniuses_player3,Evil Geniuses_player4,Evil Geniuses_player5",203.3,266.3,0.96,1.38
2025-08-22,Global Esports,Paper Rex,Paper Rex,Abyss,PACIFIC,1,"Global Esports_player1,Global Esports_player2,Global Esports_player3,Global Esports_player4,Global Esports_player5","Paper Rex_player1,Paper Rex_player2,Paper Rex_player3,Paper Rex_player4,Paper Rex_player5",219.9,275.1,0.87,1.13
2025-08-21,Talon Esports,Global Esports,Talon Esports,Abyss,PACIFIC,1,"Talon Esports_player1,Talon Esports_player2,Talon Esports_player3,Talon Esports_player4,Talon Esports_player5","Global Esports_player1,Global Esports_player2,Global Esports_player3,Global Esports_player4,Global Esports_player5",292.9,227.7,1.49,1.02
2025-08-21,Movistar KOI,Team Liquid,Team Liquid,Sunset,EMEA,1,"Movistar KOI_player1,Movistar KOI_player2,Movistar KOI_player3,Movistar KOI_player4,Movistar KOI_player5","Team Liquid_player1,Team Liquid_player2,Team Liquid_player3,Team Liquid_player4,Team Liquid_player5",173.3,230.7,1.21,1.55
2025-08-21,NRG Esports,KRÜ Esports,NRG Esports,Breeze,AMERICAS,1,"NRG Esports_player1,NRG Esports_player2,NRG Esports_player3,NRG Esports_player4,NRG Esports_player5","KRÜ Esports_player1,KRÜ Esports_player2,KRÜ Esports_player3,KRÜ Esports_player4,KRÜ Esports_player5",323.4,232.3,1.4,0.97
2025-08-20,Sentinels,Cloud9,Cloud9,Ascent,AMERICAS,1,"Sentinels_player1,Sentinels_player2,Sentinels_player3,Sentinels_player4,Sentinels_player5","Cloud9_player1,Cloud9_player2,Cloud9_player3,Cloud9_player4,Cloud9_player5",222.4,254.8,0.96,1.41
2025-08-20,DetonatioN FocusMe,Bleed Esports,DetonatioN FocusMe,Split,PACIFIC,1,"DetonatioN FocusMe_player1,DetonatioN FocusMe_player2,DetonatioN FocusMe_player3,DetonatioN FocusMe_player4,DetonatioN FocusMe_player5","Bleed Esports_player1,Bleed Esports_player2,Bleed Esports_player3,Bleed Esports_player4,Bleed Esports_player5",294.9,253.3,1.34,0.98
2025-08-20,Global Esports,DetonatioN FocusMe,Global Esports,Haven,PACIFIC,1,"Global Esports_player1,Global Esports_player2,Global Esports_player3,Global Esports_player4,Global Esports_player5","DetonatioN FocusMe_player1,DetonatioN FocusMe_player2,DetonatioN FocusMe_player3,DetonatioN FocusMe_player4,DetonatioN FocusMe_player5",248.3,196.3,1.17,0.85
2025-08-19,Team Heretics,Team Liquid,Team Liquid,Ascent,EMEA,1,"Team Heretics_player1,Team Heretics_player2,Team Heretics_player3,Team Heretics_player4,Team Heretics_player5","Team Liquid_player1,Team Liquid_player2,Team Liquid_player3,Team Liquid_player4,Team Liquid_player5",176.0,246.8,1.18,1.45
2025-08-19,JDG Esports,Edward Gaming,Edward Gaming,Lotus,CHINA,1,"JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5","Edward Gaming_player1,Edward Gaming_player2,Edward Gaming_player3,Edward Gaming_player4,Edward Gaming_player5",239.0,324.8,1.16,1.69
2025-08-19,Bilibili Gaming,Dragon Ranger Gaming,Bilibili Gaming,Ascent,CHINA,1,"Bilibili Gaming_player1,Bilibili Gaming_player2,Bilibili Gaming_player3,Bilibili Gaming_player4,Bilibili Gaming_player5","Dragon Ranger Gaming_player1,Dragon Ranger Gaming_player2,Dragon Ranger Gaming_player3,Dragon Ranger Gaming_player4,Dragon Ranger Gaming_player5",275.4,221.3,1.24,0.95
2025-08-18,Edward Gaming,Trace Esports,Edward Gaming,Icebox,CHINA,1,"Edward Gaming_player1,Edward Gaming_player2,Edward Gaming_player3,Edward Gaming_player4,Edward Gaming_player5","Trace Esports_player1,Trace Esports_player2,Trace Esports_player3,Trace Esports_player4,Trace Esports_player5",222.9,173.2,1.36,0.91
2025-08-17,T1,DetonatioN FocusMe,DetonatioN FocusMe,Bind,PACIFIC,1,"T1_player1,T1_player2,T1_player3,T1_player4,T1_player5","DetonatioN FocusMe_player1,DetonatioN FocusMe_player2,DetonatioN FocusMe_player3,DetonatioN FocusMe_player4,DetonatioN FocusMe_player5",209.1,269.1,1.07,1.58
2025-08-17,Team Vitality,Gentle Mates,Team Vitality,Split,EMEA,1,"Team Vitality_player1,Team Vitality_player2,Team Vitality_player3,Team Vitality_player4,Team Vitality_player5","Gentle Mates_player1,Gentle Mates_player2,Gentle Mates_player3,Gentle Mates_player4,Gentle Mates_player5",291.7,224.3,1.14,0.87
2025-08-16,MIBR,LOUD,MIBR,Breeze,AMERICAS,1,"MIBR_player1,MIBR_player2,MIBR_player3,MIBR_player4,MIBR_player5","LOUD_player1,LOUD_player2,LOUD_player3,LOUD_player4,LOUD_player5",287.1,230.6,1.54,1.2
2025-08-16,Team Liquid,GIANTX,Team Liquid,Lotus,EMEA,1,"Team Liquid_player1,Team Liquid_player2,Team Liquid_player3,Team Liquid_player4,Team Liquid_player5","GIANTX_player1,GIANTX_player2,GIANTX_player3,GIANTX_player4,GIANTX_player5",312.0,240.9,1.52,1.1
2025-08-16,DRX,Talon Esports,Talon Esports,Lotus,PACIFIC,1,"DRX_player1,DRX_player2,DRX_player3,DRX_player4,DRX_player5","Talon Esports_player1,Talon Esports_player2,Talon Esports_player3,Talon Esports_player4,Talon Esports_player5",227.3,285.2,1.15,1.7
2025-08-15,JDG Esports,Wolves Esports,JDG Esports,Bind,CHINA,1,"JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5","Wolves Esports_player1,Wolves Esports_player2,Wolves Esports_player3,Wolves Esports_player4,Wolves Esports_player5",242.9,190.6,1.71,1.17
2025-08-15,FunPlus Phoenix,Edward Gaming,Edward Gaming,Abyss,CHINA,1,"FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5","Edward Gaming_player1,Edward Gaming_player2,Edward Gaming_player3,Edward Gaming_player4,Edward Gaming_player5",192.3,267.0,0.91,1.25
2025-08-14,Team Liquid,Team Heretics,Team Heretics,Sunset,EMEA,1,"Team Liquid_player1,Team Liquid_player2,Team Liquid_player3,Team Liquid_player4,Team Liquid_player5","Team Heretics_player1,Team Heretics_player2,Team Heretics_player3,Team Heretics_player4,Team Heretics_player5",223.0,308.5,0.99,1.4
2025-08-14,GIANTX,Gentle Mates,GIANTX,Abyss,EMEA,1,"GIANTX_player1,GIANTX_player2,GIANTX_player3,GIANTX_player4,GIANTX_player5","Gentle Mates_player1,Gentle Mates_player2,Gentle Mates_player3,Gentle Mates_player4,Gentle Mates_player5",313.4,242.8,1.36,0.97
2025-08-14,Karmine Corp,Team Liquid,Team Liquid,Icebox,EMEA,1,"Karmine Corp_player1,Karmine Corp_player2,Karmine Corp_player3,Karmine Corp_player4,Karmine Corp_player5","Team Liquid_player1,Team Liquid_player2,Team Liquid_player3,Team Liquid_player4,Team Liquid_player5",181.2,251.5,1.11,1.55
2025-08-13,GIANTX,Team Heretics,Team Heretics,Split,EMEA,1,"GIANTX_player1,GIANTX_player2,GIANTX_player3,GIANTX_player4,GIANTX_player5","Team Heretics_player1,Team Heretics_player2,Team Heretics_player3,Team Heretics_player4,Team Heretics_player5",169.8,232.9,0.83,1.13
2025-08-12,G2 Esports,FURIA Esports,G2 Esports,Abyss,AMERICAS,1,"G2 Esports_player1,G2 Esports_player2,G2 Esports_player3,G2 Esports_player4,G2 Esports_player5","FURIA Esports_player1,FURIA Esports_player2,FURIA Esports_player3,FURIA Esports_player4,FURIA Esports_player5",338.9,226.5,1.14,0.87
2025-08-12,MIBR,Evil Geniuses,MIBR,Ascent,AMERICAS,1,"MIBR_player1,MIBR_player2,MIBR_player3,MIBR_player4,MIBR_player5","Evil Geniuses_player1,Evil Geniuses_player2,Evil Geniuses_player3,Evil Geniuses_player4,Evil Geniuses_player5",249.1,195.5,1.44,1.03
2025-08-11,JDG Esports,Dragon Ranger Gaming,Dragon Ranger Gaming,Bind,CHINA,1,"JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5","Dragon Ranger Gaming_player1,Dragon Ranger Gaming_player2,Dragon Ranger Gaming_player3,Dragon Ranger Gaming_player4,Dragon Ranger Gaming_player5",227.5,309.5,0.99,1.38
2025-08-11,MIBR,NRG Esports,MIBR,Ascent,AMERICAS,1,"MIBR_player1,MIBR_player2,MIBR_player3,MIBR_player4,MIBR_player5","NRG Esports_player1,NRG Esports_player2,NRG Esports_player3,NRG Esports_player4,NRG Esports_player5",261.6,197.0,1.49,1.04
2025-08-10,Evil Geniuses,NRG Esports,NRG Esports,Breeze,AMERICAS,1,"Evil Geniuses_player1,Evil Geniuses_player2,Evil Geniuses_player3,Evil Geniuses_player4,Evil Geniuses_player5","NRG Esports_player1,NRG Esports_player2,NRG Esports_player3,NRG Esports_player4,NRG Esports_player5",218.4,293.1,1.18,1.75
2025-08-10,Team Liquid,Team Vitality,Team Vitality,Haven,EMEA,1,"Team Liquid_player1,Team Liquid_player2,Team Liquid_player3,Team Liquid_player4,Team Liquid_player5","Team Vitality_player1,Team Vitality_player2,Team Vitality_player3,Team Vitality_player4,Team Vitality_player5",201.0,291.6,0.91,1.35
2025-08-09,JDG Esports,Trace Esports,Trace Esports,Breeze,CHINA,1,"JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5","Trace Esports_player1,Trace Esports_player2,Trace Esports_player3,Trace Esports_player4,Trace Esports_player5",207.2,294.2,0.81,1.11
2025-08-09,Evil Geniuses,LOUD,Evil Geniuses,Sunset,AMERICAS,1,"Evil Geniuses_player1,Evil Geniuses_player2,Evil Geniuses_player3,Evil Geniuses_player4,Evil Geniuses_player5","LOUD_player1,LOUD_player2,LOUD_player3,LOUD_player4,LOUD_player5",267.0,229.3,1.33,0.99
2025-08-09,KRÜ Esports,100 Thieves,KRÜ Esports,Haven,AMERICAS,1,"KRÜ Esports_player1,KRÜ Esports_player2,KRÜ Esports_player3,KRÜ Esports_player4,KRÜ Esports_player5","100 Thieves_player1,100 Thieves_player2,100 Thieves_player3,100 Thieves_player4,100 Thieves_player5",244.6,191.4,1.3,0.97
2025-08-08,Trace Esports,FunPlus Phoenix,FunPlus Phoenix,Breeze,CHINA,1,"Trace Esports_player1,Trace Esports_player2,Trace Esports_player3,Trace Esports_player4,Trace Esports_player5","FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5",215.4,329.5,1.11,1.46
2025-08-07,Bleed Esports,DetonatioN FocusMe,Bleed Esports,Lotus,PACIFIC,1,"Bleed Esports_player1,Bleed Esports_player2,Bleed Esports_player3,Bleed Esports_player4,Bleed Esports_player5","DetonatioN FocusMe_player1,DetonatioN FocusMe_player2,DetonatioN FocusMe_player3,DetonatioN FocusMe_player4,DetonatioN FocusMe_player5",277.5,220.7,1.53,1.22
2025-08-07,Fnatic,GIANTX,Fnatic,Ascent,EMEA,1,"Fnatic_player1,Fnatic_player2,Fnatic_player3,Fnatic_player4,Fnatic_player5","GIANTX_player1,GIANTX_player2,GIANTX_player3,GIANTX_player4,GIANTX_player5",319.1,228.4,1.72,1.15
2025-08-07,Global Esports,Paper Rex,Paper Rex,Sunset,PACIFIC,1,"Global Esports_player1,Global Esports_player2,Global Esports_player3,Global Esports_player4,Global Esports_player5","Paper Rex_player1,Paper Rex_player2,Paper Rex_player3,Paper Rex_player4,Paper Rex_player5",196.0,276.7,0.85,1.1
2025-08-06,Talon Esports,ZETA DIVISION,ZETA DIVISION,Ascent,PACIFIC,1,"Talon Esports_player1,Talon Esports_player2,Talon Esports_player3,Talon Esports_player4,Talon Esports_player5","ZETA DIVISION_player1,ZETA DIVISION_player2,ZETA DIVISION_player3,ZETA DIVISION_player4,ZETA DIVISION_player5",197.7,278.2,0.89,1.19
2025-08-05,FunPlus Phoenix,Titan Esports Club,FunPlus Phoenix,Abyss,CHINA,1,"FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5","Titan Esports Club_player1,Titan Esports Club_player2,Titan Esports Club_player3,Titan Esports Club_player4,Titan Esports Club_player5",268.5,200.0,1.14,0.87
2025-08-05,100 Thieves,KRÜ Esports,100 Thieves,Sunset,AMERICAS,1,"100 Thieves_player1,100 Thieves_player2,100 Thieves_player3,100 Thieves_player4,100 Thieves_player5","KRÜ Esports_player1,KRÜ Esports_player2,KRÜ Esports_player3,KRÜ Esports_player4,KRÜ Esports_player5",315.4,221.3,1.45,1.11
2025-08-05,T1,DetonatioN FocusMe,T1,Bind,PACIFIC,1,"T1_player1,T1_player2,T1_player3,T1_player4,T1_player5","DetonatioN FocusMe_player1,DetonatioN FocusMe_player2,DetonatioN FocusMe_player3,DetonatioN FocusMe_player4,DetonatioN FocusMe_player5",263.1,171.6,1.68,1.1
2025-08-04,Trace Esports,FunPlus Phoenix,Trace Esports,Ascent,CHINA,1,"Trace Esports_player1,Trace Esports_player2,Trace Esports_player3,Trace Esports_player4,Trace Esports_player5","FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5",270.8,209.8,1.39,1.02
2025-08-04,Gen.G,T1,T1,Sunset,PACIFIC,1,"Gen.G_player1,Gen.G_player2,Gen.G_player3,Gen.G_player4,Gen.G_player5","T1_player1,T1_player2,T1_player3,T1_player4,T1_player5",243.9,332.0,0.9,1.41
2025-08-04,ZETA DIVISION,Team Secret,ZETA DIVISION,Split,PACIFIC,1,"ZETA DIVISION_player1,ZETA DIVISION_player2,ZETA DIVISION_player3,ZETA DIVISION_player4,ZETA DIVISION_player5","Team Secret_player1,Team Secret_player2,Team Secret_player3,Team Secret_player4,Team Secret_player5",276.2,226.9,1.16,0.86
2025-08-03,Team Heretics,FUT Esports,Team Heretics,Split,EMEA,1,"Team Heretics_player1,Team Heretics_player2,Team Heretics_player3,Team Heretics_player4,Team Heretics_player5","FUT Esports_player1,FUT Esports_player2,FUT Esports_player3,FUT Esports_player4,FUT Esports_player5",301.2,239.8,1.26,1.01
2025-08-03,Team Secret,Talon Esports,Team Secret,Sunset,PACIFIC,1,"Team Secret_player1,Team Secret_player2,Team Secret_player3,Team Secret_player4,Team Secret_player5","Talon Esports_player1,Talon Esports_player2,Talon Esports_player3,Talon Esports_player4,Talon Esports_player5",299.9,240.0,1.55,1.1
2025-08-02,DRX,Talon Esports,DRX,Ascent,PACIFIC,1,"DRX_player1,DRX_player2,DRX_player3,DRX_player4,DRX_player5","Talon Esports_player1,Talon Esports_player2,Talon Esports_player3,Talon Esports_player4,Talon Esports_player5",304.0,227.0,1.18,0.77
2025-08-02,Gentle Mates,Karmine Corp,Gentle Mates,Haven,EMEA,1,"Gentle Mates_player1,Gentle Mates_player2,Gentle Mates_player3,Gentle Mates_player4,Gentle Mates_player5","Karmine Corp_player1,Karmine Corp_player2,Karmine Corp_player3,Karmine Corp_player4,Karmine Corp_player5",308.9,213.7,1.44,1.11
2025-08-02,LOUD,KRÜ Esports,LOUD,Ascent,AMERICAS,1,"LOUD_player1,LOUD_player2,LOUD_player3,LOUD_player4,LOUD_player5","KRÜ Esports_player1,KRÜ Esports_player2,KRÜ Esports_player3,KRÜ Esports_player4,KRÜ Esports_player5",309.1,226.4,1.34,0.94
2025-08-01,Rex Regum Qeon,Paper Rex,Paper Rex,Icebox,PACIFIC,1,"Rex Regum Qeon_player1,Rex Regum Qeon_player2,Rex Regum Qeon_player3,Rex Regum Qeon_player4,Rex Regum Qeon_player5","Paper Rex_player1,Paper Rex_player2,Paper Rex_player3,Paper Rex_player4,Paper Rex_player5",205.9,255.7,1.08,1.67
2025-08-01,Movistar KOI,BBL Esports,BBL Esports,Split,EMEA,1,"Movistar KOI_player1,Movistar KOI_player2,Movistar KOI_player3,Movistar KOI_player4,Movistar KOI_player5","BBL Esports_player1,BBL Esports_player2,BBL Esports_player3,BBL Esports_player4,BBL Esports_player5",231.8,300.4,0.79,1.12
2025-07-31,FunPlus Phoenix,Trace Esports,Trace Esports,Breeze,CHINA,1,"FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5","Trace Esports_player1,Trace Esports_player2,Trace Esports_player3,Trace Esports_player4,Trace Esports_player5",245.6,324.9,0.92,1.27
2025-07-31,Team Secret,Talon Esports,Team Secret,Ascent,PACIFIC,1,"Team Secret_player1,Team Secret_player2,Team Secret_player3,Team Secret_player4,Team Secret_player5","Talon Esports_player1,Talon Esports_player2,Talon Esports_player3,Talon Esports_player4,Talon Esports_player5",306.8,246.3,1.13,0.8
